2026-06-04 05:46:34 remove linux-tools-7.0.0-22:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:34 status half-configured linux-tools-7.0.0-22:amd64 7.0.0-22.22
2026-06-04 05:46:34 status half-installed linux-tools-7.0.0-22:amd64 7.0.0-22.22
2026-06-04 05:46:34 status config-files linux-tools-7.0.0-22:amd64 7.0.0-22.22
2026-06-04 05:46:34 status not-installed linux-tools-7.0.0-22:amd64 <none>
2026-06-04 05:46:34 status installed linux-tools-common:all 7.0.0-22.22
2026-06-04 05:46:34 remove linux-tools-common:all 7.0.0-22.22 <none>
2026-06-04 05:46:34 status half-configured linux-tools-common:all 7.0.0-22.22
2026-06-04 05:46:34 status half-installed linux-tools-common:all 7.0.0-22.22
2026-06-04 05:46:34 status config-files linux-tools-common:all 7.0.0-22.22
2026-06-04 05:46:34 status not-installed linux-tools-common:all <none>
2026-06-04 05:46:34 remove linux-main-modules-zfs-7.0.0-22-generic:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:34 status half-configured linux-main-modules-zfs-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:34 status half-installed linux-main-modules-zfs-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:37 status config-files linux-main-modules-zfs-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:37 remove linux-image-7.0.0-22-generic:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:37 status half-configured linux-image-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:37 status half-installed linux-image-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:38 status config-files linux-image-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:38 remove linux-modules-7.0.0-22-generic:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:38 status half-configured linux-modules-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:38 status half-installed linux-modules-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:38 status config-files linux-modules-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:38 startup packages configure
2026-06-04 05:46:38 trigproc man-db:amd64 2.13.1-1build1 <none>
2026-06-04 05:46:38 status half-configured man-db:amd64 2.13.1-1build1
2026-06-04 05:46:39 status installed man-db:amd64 2.13.1-1build1
2026-06-04 05:46:39 trigproc procps:amd64 2:4.0.4-9ubuntu1 <none>
2026-06-04 05:46:39 status half-configured procps:amd64 2:4.0.4-9ubuntu1
2026-06-04 05:46:39 status installed procps:amd64 2:4.0.4-9ubuntu1
2026-06-04 05:46:39 trigproc systemd:amd64 259.5-0ubuntu3 <none>
2026-06-04 05:46:39 status half-configured systemd:amd64 259.5-0ubuntu3
2026-06-04 05:46:39 status installed systemd:amd64 259.5-0ubuntu3
2026-06-04 05:46:39 startup packages purge
2026-06-04 05:46:39 purge linux-modules-7.0.0-22-generic:amd64 7.0.0-22.22 <none>
